cod,descr
377,Fundo de investimento financeiro - FIF total - Outras aplicações
378,Fundo de investimento financeiro - FIF total - Aplicações em operações compromissadas
379,Fundo BB - Extramercado - Patrimônio líquido - diário
380,Fundo BB-extramercado - Captação
381,Fundo BB-extramercado - Resgates
382,Fundo BB-extramercado - Rentabilidade diária (%)
383,Fundo BB-extramercado - Aplicações em títulos de emissão do Tesouro
384,Fundo BB-extramercado - Aplicações em CDB
385,Fundo BB-extramercado - Aplicações em operações compromissadas
386,Fundo FAQFIF CP - Patrimônio líquido
387,Fundo FAQFIF CP - Captação
388,Fundo FAQFIF CP - Resgates
389,Fundo FAQFIF CP - Rentabilidade mensal (%)
390,Fundo FAQFIF 30 - Patrimônio líquido
391,Fundo FAQFIF 30 - Captação
392,Fundo FAQFIF 30 - Resgates
393,Fundo FAQFIF 30 - Rentabilidade mensal (%)
394,Fundo FAQFIF 60 - Patrimônio líquido
395,Fundo FAQFIF 60 - Captação
396,Fundo FAQFIF 60 - Resgates
397,Fundo FAQFIF 60 - Rentabilidade mensal (%)
398,Fundo FAQFIF 90 - Patrimônio líquido
399,Fundo FAQFIF 90 - Captação
400,Fundo FAQFIF 90 - Resgates
401,Fundo FAQFIF 90 - Rentabilidade mensal (%)
402,Fundo FAQFIF - Patrimônio líquido (total)
403,Fundo FAQFIF - Captação (total)
404,Fundo FAQFIF - Resgates (total)
405,Depósitos a prazo (Reaplicação automática) - Saldos
406,Depósitos a prazo (Reaplicação automática) - Captação líquida
407,Depósitos a prazo (Reaplicação automática) - Rendimentos pagos
408,Depósitos a prazo (CDB/RDB-pós-fixados TBF) - Saldos
409,Depósitos a prazo (CDB/RDB-pós-fixados TBF) - Captação líquida
410,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Outras operações - Pessoa jurídica - Taxa total
411,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Outras operações - Pessoa jurídica
412,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Outras operações - Pessoa física - Taxa total
413,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Outras operações - Pessoa física
414,Operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Financiamento a importações e outros - Taxa total
415,Saldo das operações de crédito com recursos livres referenciais para taxa de juros (pós-fixada) - Financiamento a importações e outros
416,Operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Outras operações - Pessoa física - Taxa total
417,Saldo das operações de crédito com recursos livres referenciais                para taxa de juros (pós-fixada) - Outras operações - Pessoa física
420,Fundo BB-extramercado - Captação líquida
422,Taxa de juros - TBC anualizada
423,Taxa de juros - TBAN anualizada
424,"Fundo BB-extramercado - FAT, FNDE, FUNCAFE - Patrimônio"
425,"Fundo BB-extramercado - FAT, FNDE, FUNCAFE - Captação"
426,"Fundo BB-extramercado - FAT, FNDE, FUNCAFE - Resgates"
427,"Fundo BB-extramercado - FAT, FNDE, FUNCAFE - Rentabilidade diária (%)"
428,"Fundo BB-extramercado - FAT, FNDE, FUNCAFE - Aplicações em títulos federais"
429,"Fundo BB-extramercado - FAT, FNDE, FUNCAFE - Aplicações em títulos privados"
430,"Fundo BB-extramercado - FAT, FNDE, FUNCAFE - Aplicações em operações compromissadas"
431,"Fundo BB-extramercado - FAT, FNDE, FUNCAFE - Captação líquida"
432,Taxa de juros - Meta Selic definida pelo Copom
433,Índice nacional de preços ao consumidor-amplo (IPCA)
466,Concessões das operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Hot money
467,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Hot money - Saldo sem atraso
468,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Hot money - Saldo com atraso de 15 a 30 dias
469,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Hot money - Saldo com atraso de 31 a 90 dias
470,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Hot money - Saldo com atraso maior que 90 dias
471,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Hot money - Taxa referente aos juros
472,Operações de crédito com recursos livres referenciais                para taxa de juros (pré-fixada) - Hot money - Taxa referente aos encargos fiscais
